species	hmm_hits	tblastn_hits	status
Eleocharis_palustris	65	1736	PRESENT
Eleocharis_parvula	12	327	PRESENT
Eleocharis_quinqueflora	15	329	PRESENT
Empetrum_nigrum	77	2038	PRESENT
Encalypta_ciliata	9	355	PRESENT
Encalypta_streptocarpa	11	339	PRESENT
Epilobium_ciliatum	15	336	PRESENT
Epilobium_hirsutum	0	0	MISSING_BOTH
Equisetum_palustre	10	281	PRESENT
Erica_ciliaris	17	342	PRESENT
Erica_cinerea	17	406	PRESENT
Erica_tetralix	17	366	PRESENT
Eriophorum_angustifolium	15	664	PRESENT
Eriophorum_vaginatum	13	579	PRESENT
Erodium_maritimum	12	332	PRESENT
Erodium_moschatum	12	335	PRESENT
Eryngium_campestre	23	637	PRESENT
Euonymus_europaeus	12	312	PRESENT
Euphorbia_amygdaloides	62	1877	PRESENT
Euphorbia_helioscopia	37	1162	PRESENT
Euphorbia_lathyris	9	255	PRESENT
Euphorbia_maculata	23	541	PRESENT
Euphorbia_peplus	14	320	PRESENT
Euphrasia_confusa	62	1791	PRESENT
Euphrasia_nemorosa	40	1234	PRESENT
Euphrasia_tetraquetra	18	755	PRESENT
Fagus_sylvatica	15	369	PRESENT
Fallopia_convolvulus	36	1312	PRESENT
Festuca_heterophylla	157	2420	PRESENT
Filago_lutescens	11	281	PRESENT
Filago_pyramidata	10	281	PRESENT
Filipendula_ulmaria	13	359	PRESENT
Filipendula_vulgaris	13	419	PRESENT
Fissidens_adianthoides	20	652	PRESENT
Fissidens_bryoides	11	350	PRESENT
Fissidens_dubius	10	340	PRESENT
Fissidens_pusillus	14	474	PRESENT
Fissidens_taxifolius	11	344	PRESENT
Flexitrichum_flexicaule	9	366	PRESENT
Flexitrichum_gracile	9	368	PRESENT
Fragaria_moschata	13	349	PRESENT
Fragaria_vesca	13	350	PRESENT
Frangula_alnus	10	316	PRESENT
Fraxinus_excelsior	18	408	PRESENT
Fumaria_muralis	15	386	PRESENT
Funaria_hygrometrica	11	373	PRESENT
Galatella_linosyris	11	266	PRESENT
Galega_officinalis	27	661	PRESENT
Galeopsis_angustifolia	11	346	PRESENT
Galeopsis_tetrahit	23	577	PRESENT
Galinsoga_quadriradiata	12	551	PRESENT
Galium_aparine	46	966	PRESENT
Galium_boreale	41	1181	PRESENT
Galium_uliginosum	15	315	PRESENT
Geheebia_maxima	11	331	PRESENT
Genista_pilosa	15	328	PRESENT
Gentianella_amarella	32	1032	PRESENT
Geranium_dissectum	14	341	PRESENT
Geranium_molle	11	329	PRESENT
Geranium_pratense	12	343	PRESENT
Geranium_rotundifolium	14	329	PRESENT
Geum_rivale	51	1138	PRESENT
Geum_urbanum	70	1611	PRESENT
Glaucium_flavum	17	345	PRESENT
Glaux_maritima	39	950	PRESENT
Glechoma_hederacea	35	1169	PRESENT
Gnaphalium_supinum	9	377	PRESENT
Gnaphalium_uliginosum	10	343	PRESENT
Grimmia_atrata	10	369	PRESENT
Grimmia_decipiens	19	781	PRESENT
Grimmia_donniana	11	370	PRESENT
Grimmia_elongata	10	369	PRESENT
Grimmia_funalis	11	377	PRESENT
Grimmia_montana	11	386	PRESENT
Grimmia_pulvinata	21	722	PRESENT
Grimmia_trichophylla	10	379	PRESENT
Hedera_helix	22	740	PRESENT
Hedwigia_stellata	11	348	PRESENT
Helianthemum_oelandicum	89	2286	PRESENT
Heracleum_mantegazzianum	11	345	PRESENT
Heracleum_sphondylium	11	335	PRESENT
Herbertus_borealis	13	255	PRESENT
Herbertus_hutchinsiae	14	257	PRESENT
Herbertus_stramineus	16	424	PRESENT
Hesperis_matronalis	20	1099	PRESENT
Heterocladium_heteropterum	9	358	PRESENT
Hibiscus_tridactylites	24	672	PRESENT
Hibiscus_verdcourtii	24	657	PRESENT
Hieracium_snowdoniense	15	617	PRESENT
Hierochloe_odorata	58	853	PRESENT
Hippophae_rhamnoides	14	337	PRESENT
Hippuris_vulgaris	25	777	PRESENT
Holcus_mollis	150	2213	PRESENT
Honckenya_peploides	23	673	PRESENT
Hookeria_lucens	20	673	PRESENT
Hordeum_vulgare	29	436	PRESENT
Hottonia_palustris	19	610	PRESENT
Humulus_lupulus	14	324	PRESENT
Hydrocotyle_vulgaris	10	336	PRESENT
Hygrohypnum_duriusculum	10	316	PRESENT
Hylocomiadelphus_triquetrus	9	306	PRESENT
Hymenoloma_crispulum	11	342	PRESENT
Hyocomium_armoricum	9	358	PRESENT
Hypericum_androsaemum	20	553	PRESENT
Hypericum_hircinum	16	411	PRESENT
Hypericum_hirsutum	11	341	PRESENT
Hypericum_maculatum	12	352	PRESENT
Hypericum_perforatum	29	823	PRESENT
Hypericum_pulchrum	11	362	PRESENT
Hypnum_cupressiforme	10	356	PRESENT
Hypochaeris_maculata	49	2185	PRESENT
Ilex_aquifolium	17	366	PRESENT
Impatiens_glandulifera	13	351	PRESENT
Impatiens_noli_tangere	13	276	PRESENT
Impatiens_parviflora	29	687	PRESENT
Inula_conyza	24	651	PRESENT
Inula_salicina	14	312	PRESENT
Iris_foetidissima	16	412	PRESENT
Isolepis_cernua	23	640	PRESENT
Isopterygiella_pulchella	18	690	PRESENT
Isothecium_myosuroides	10	355	PRESENT
Jacobaea_maritima	11	231	PRESENT
Jacobaea_vulgaris	15	223	PRESENT
Jasione_montana	12	339	PRESENT
Juglans_regia	13	383	PRESENT
Juncus_bufonius	25	797	PRESENT
Juncus_conglomeratus	11	185	PRESENT
Juncus_effusus	3	76	PRESENT
Juncus_inflexus	11	251	PRESENT
Juncus_squarrosus	10	253	PRESENT
Kiaeria_blyttii	10	348	PRESENT
Koelreuteria_paniculata	12	366	PRESENT
Kurzia_trichoclados	12	337	PRESENT
Laburnum_anagyroides	14	306	PRESENT
Lactuca_saligna	10	514	PRESENT
Lamium_amplexicaule	13	356	PRESENT
Lamium_purpureum	10	290	PRESENT
Lapsana_communis	10	286	PRESENT
Lathraea_clandestina	42	998	PRESENT
Lathraea_squamaria	21	541	PRESENT
Lathyrus_aphaca	12	93	PRESENT
Lathyrus_linifolius	29	197	PRESENT
Leersia_oryzoides	43	764	PRESENT
Lemna_minuta	0	324	MISSING_HMM_ONLY
Leontodon_hispidus	39	1369	PRESENT
Lepidium_campestre	9	326	PRESENT
Lepidium_didymum	16	788	PRESENT
Lepidium_draba	17	893	PRESENT
Lepidium_latifolium	9	269	PRESENT
Lepidozia_cupressina	12	322	PRESENT
Lepidozia_reptans	24	500	PRESENT
Leucobryum_glaucum	12	412	PRESENT
Leucobryum_juniperoideum	10	405	PRESENT
Leucodon_sciuroides	10	321	PRESENT
Levisticum_officinale	13	369	PRESENT
Lewinskya_affinis	9	312	PRESENT
Lewinskya_rupestris	9	303	PRESENT
Lewinskya_speciosa	17	614	PRESENT
Ligusticum_scoticum	11	354	PRESENT
Ligustrum_vulgare	14	336	PRESENT
Limbarda_crithmoides	10	284	PRESENT
Limosella_australis	13	359	PRESENT
Linaria_repens	173	768	PRESENT
Linaria_vulgaris	67	345	PRESENT
Linnaea_borealis	14	387	PRESENT
Linum_bienne	14	406	PRESENT
Linum_catharticum	13	377	PRESENT
Lithospermum_officinale	17	261	PRESENT
Lobelia_dortmanna	14	323	PRESENT
Lobelia_urens	14	336	PRESENT
Loeskeobryum_brevirostre	10	289	PRESENT
Logfia_minima	20	776	PRESENT
Lophozia_ventricosa	11	335	PRESENT
Lotus_pedunculatus	14	411	PRESENT
Lotus_subbiflorus	28	730	PRESENT
Lunularia_cruciata	14	364	PRESENT
Luzula_pallescens	7	193	PRESENT
Luzula_sylvatica	6	182	PRESENT
Lycopus_europaeus	21	437	PRESENT
Lysimachia_thyrsiflora	14	325	PRESENT
Lythrum_hyssopifolia	27	627	PRESENT
Lythrum_portula	13	320	PRESENT
Lythrum_salicaria	112	2806	PRESENT
Malus_domestica	14	376	PRESENT
Malus_sylvestris	14	376	PRESENT
Malus_x_robusta	13	376	PRESENT
Malva_arborea	10	334	PRESENT
Malva_neglecta	10	242	PRESENT
Malva_sylvestris	10	263	PRESENT
Marchantia_polymorpha	13	371	PRESENT
Marchantia_quadrata	11	391	PRESENT
Marsupella_aquatica	12	376	PRESENT
Marsupella_emarginata	13	363	PRESENT
Mastigophora_woodsii	17	358	PRESENT
Matricaria_chamomilla	13	93	PRESENT
Matricaria_discoidea	14	190	PRESENT
Matthiola_sinuata	10	364	PRESENT
Medicago_arabica	13	331	PRESENT
Medicago_lupulina	13	273	PRESENT
Meesia_triquetra	9	243	PRESENT
Melampyrum_pratense	12	293	PRESENT
Melampyrum_sylvaticum	52	1470	PRESENT
Melica_uniflora	92	454	PRESENT
Melilotus_altissimus	13	281	PRESENT
Melittis_melissophyllum	13	300	PRESENT
Mentha_aquatica	40	874	PRESENT
Mercurialis_annua	15	337	PRESENT
Mesoptychia_rutheana	25	706	PRESENT
Mimulus_peregrinus	45	1402	PRESENT
Misopates_orontium	15	319	PRESENT
Moehringia_trinervia	16	327	PRESENT
Myrica_gale	28	664	PRESENT
Myriophyllum_alterniflorum	12	352	PRESENT
Myriophyllum_aquaticum	55	1714	PRESENT
Myriophyllum_spicatum	24	736	PRESENT
Myriophyllum_verticillatum	26	1025	PRESENT
Myrrhis_odorata	11	332	PRESENT
Nardia_scalaris	12	315	PRESENT
Narthecium_ossifragum	18	350	PRESENT
Nasturtium_officinale	9	382	PRESENT
Neckera_pumila	9	345	PRESENT
Neoorthocaulis_attenuatus	15	353	PRESENT
Nicotiana_alata	26	672	PRESENT
Nogopterium_gracile	9	350	PRESENT
Nuphar_pumila	23	575	PRESENT
Nymphoides_peltata	25	861	PRESENT
Odontoschisma_sphagni	12	347	PRESENT
Oedipodium_griffithianum	14	347	PRESENT
Oenanthe_lachenalii	12	387	PRESENT
Oenothera_biennis	18	250	PRESENT
Oligotrichum_hercynicum	10	270	PRESENT
Ononis_reclinata	21	1096	PRESENT
Ornithopus_perpusillus	14	328	PRESENT
Orobanche_alba	13	295	PRESENT
Orobanche_hederae	15	358	PRESENT
Orobanche_minor	16	358	PRESENT
Orthothecium_rufescens	9	348	PRESENT
Orthotrichum_anomalum	9	248	PRESENT
Orthotrichum_lyellii	18	664	PRESENT
Orthotrichum_pulchellum	9	310	PRESENT
Orthotrichum_striatum	8	314	PRESENT
Oxalis_corniculata	17	737	PRESENT
Oxyria_digyna	15	327	PRESENT
Parietaria_judaica	67	1898	PRESENT
Pastinaca_sativa	11	352	PRESENT
Paulownia_tomentosa	20	343	PRESENT
Pentaglottis_sempervirens	13	326	PRESENT
Persicaria_amphibia	21	483	PRESENT
Persicaria_maculosa	29	866	PRESENT
Persicaria_nepalensis	16	574	PRESENT
Petalophyllum_ralfsii	32	845	PRESENT
Petasites_albus	14	396	PRESENT
Petasites_hybridus	9	358	PRESENT
Phalaris_arundinacea	69	1065	PRESENT
Phleum_pratense	40	866	PRESENT
Phragmites_australis	25	464	PRESENT
Pilosella_aurantiaca	31	1070	PRESENT
Plagiochila_carringtonii	19	361	PRESENT
Plagiothecium_denticulatum	9	302	PRESENT
Platanus_x_hispanica	21	541	PRESENT
Pleurozia_purpurea	33	625	PRESENT
Poa_chaixii	55	895	PRESENT
Pogonatum_aloides	11	211	PRESENT
Pohlia_annotina	9	332	PRESENT
Pohlia_cruda	11	324	PRESENT
Pohlia_nutans	20	610	PRESENT
Pohlia_wahlenbergii	11	335	PRESENT
Polycarpon_tetraphyllum	49	1320	PRESENT
Polygala_serpyllifolia	13	346	PRESENT
Polygonum_aviculare	10	328	PRESENT
Polygonum_maritimum	11	243	PRESENT
Polypogon_viridis	63	996	PRESENT
Polytrichastrum_alpinum	10	282	PRESENT
Polytrichastrum_sexangulare	22	615	PRESENT
Polytrichum_commune	10	277	PRESENT
Polytrichum_formosum	10	283	PRESENT
Polytrichum_juniperinum	37	1038	PRESENT
Polytrichum_piliferum	79	2410	PRESENT
Polytrichum_strictum	56	1550	PRESENT
Pontederia_cordata	13	339	PRESENT
Populus_alba	29	802	PRESENT
Populus_nigra	27	845	PRESENT
Populus_tremula	27	838	PRESENT
Porella_arboris_vitae	17	516	PRESENT
Potamogeton_compressus	16	284	PRESENT
Potamogeton_crispus	25	682	PRESENT
Potamogeton_epihydrus	15	239	PRESENT
Potamogeton_lucens	30	984	PRESENT
Potamogeton_natans	30	746	PRESENT
Potamogeton_nodosus	31	719	PRESENT
Potamogeton_perfoliatus	29	541	PRESENT
Potamogeton_pusillus	16	293	PRESENT
Potamogeton_trichoides	16	291	PRESENT
Potentilla_anglica	52	1520	PRESENT
Potentilla_anserina	13	531	PRESENT
Potentilla_indica	79	2364	PRESENT
Potentilla_sterilis	25	820	PRESENT
Primula_farinosa	10	322	PRESENT
Primula_scotica	30	960	PRESENT
Primula_veris	23	611	PRESENT
Primula_vulgaris	24	580	PRESENT
Prunella_vulgaris	11	340	PRESENT
Prunus_avium	13	379	PRESENT
Prunus_padus	26	752	PRESENT
Pseudisothecium_interludens	9	357	PRESENT
Pseudobryum_cinclidioides	10	326	PRESENT
Pseudognaphalium_luteoalbum	10	258	PRESENT
Pseudoscleropodium_purum	9	362	PRESENT
Pseudotaxiphyllum_elegans	9	358	PRESENT
Pterigynandrum_filiforme	9	311	PRESENT
Ptilidium_ciliare	15	551	PRESENT
Ptychomitrium_polyphyllum	10	361	PRESENT
Ptychostomum_cyclophyllum	9	347	PRESENT
Ptychostomum_pallens	12	274	PRESENT
Pulicaria_dysenterica	27	475	PRESENT
Pyrus_communis	13	388	PRESENT
Quercus_cerris	56	1566	PRESENT
Quercus_ilex	62	1561	PRESENT
Quercus_petraea	54	1526	PRESENT
Quercus_robur	54	1438	PRESENT
Racomitrium_heterostichum	9	630	PRESENT
Radula_complanata	43	885	PRESENT
Ranunculus_repens	41	1134	PRESENT
Ranunculus_sardous	24	116	PRESENT
Ranunculus_sceleratus	18	664	PRESENT
Raphanus_raphanistrum	28	1114	PRESENT
Reboulia_hemisphaerica	18	466	PRESENT
Reseda_luteola	12	346	PRESENT
Rhabdoweisia_crispata	10	333	PRESENT
Rhamnus_cathartica	10	325	PRESENT
Rhinanthus_minor	13	269	PRESENT
Rhododendron_ponticum	24	864	PRESENT
Rhynchostegiella_tenella	10	367	PRESENT
Rhynchostegium_confertum	10	357	PRESENT
Rhynchostegium_megapolitanum	11	349	PRESENT
Rhytidiadelphus_loreus	10	348	PRESENT
Ribes_nigrum	13	338	PRESENT
Ribes_rubrum	14	309	PRESENT
Ribes_uva_crispa	13	338	PRESENT
Riccia_beyrichiana	18	570	PRESENT
Riccia_sorocarpa	21	535	PRESENT
Robinia_pseudoacacia	17	714	PRESENT
