species	hmm_hits	tblastn_hits	status
Trichostomum_littorale	11	303	PRESENT
Trifolium_bocconei	14	335	PRESENT
Trifolium_dubium	42	1148	PRESENT
Trifolium_fragiferum	15	401	PRESENT
Trifolium_occidentale	14	388	PRESENT
Trifolium_repens	26	823	PRESENT
Trifolium_striatum	22	638	PRESENT
Trifolium_subterraneum	14	370	PRESENT
Triglochin_maritima	32	696	PRESENT
Triglochin_palustris	27	834	PRESENT
Tripolium_pannonicum	9	389	PRESENT
Tritomaria_quinquedentata	23	636	PRESENT
Trocdaris_verticillatum	11	349	PRESENT
Trollius_europaeus	12	311	PRESENT
Turritis_glabra	12	322	PRESENT
Tussilago_farfara	11	396	PRESENT
Ulex_minor	15	343	PRESENT
Ulmus_glabra	13	319	PRESENT
Ulmus_minor	13	328	PRESENT
Ulmus_procera	13	328	PRESENT
Ulota_crispa	16	463	PRESENT
Ulota_phyllantha	8	249	PRESENT
Umbilicus_rupestris	11	360	PRESENT
Urtica_dioica	15	271	PRESENT
Urtica_urens	18	582	PRESENT
Vaccinium_myrtillus	33	772	PRESENT
Vaccinium_vitis_idaea	15	369	PRESENT
Valerianella_locusta	11	336	PRESENT
Verbascum_nigrum	15	337	PRESENT
Verbascum_thapsus	13	336	PRESENT
Verbena_officinalis	13	347	PRESENT
Veronica_anagallis_aquatica	24	729	PRESENT
Veronica_arvensis	12	330	PRESENT
Veronica_filiformis	31	1049	PRESENT
Veronica_persica	26	707	PRESENT
Veronica_scutellata	13	394	PRESENT
Veronica_serpyllifolia	14	436	PRESENT
Veronica_triphyllos	12	344	PRESENT
Veronica_verna	12	395	PRESENT
Viburnum_lantana	15	373	PRESENT
Vicia_hirsuta	13	407	PRESENT
Vicia_lathyroides	15	441	PRESENT
Vicia_parviflora	14	189	PRESENT
Vicia_sativa	13	362	PRESENT
Viola_odorata	36	883	PRESENT
Viola_palustris	35	796	PRESENT
Viola_stagnina	15	353	PRESENT
Viola_tricolor	29	692	PRESENT
Viscum_album	0	0	MISSING_BOTH
Vitis_vinifera	16	431	PRESENT
Xerophyllum_tenax	20	393	PRESENT
Zygodon_viridissimus	9	238	PRESENT
