# target name                  accession  query name           accession  hmmfrom hmm to  alifrom   ali to  envfrom   env to   sq len strand   E-value  score  bias  description of target
#          ------------------- ---------- -------------------- ---------- ------- -------  -------  -------  -------  -------  ------- ------ --------- ------ ----- ---------------------
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20     104 18227928 18228008 18227908 18228027 52377468    +       0.013   22.1   3.4  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               20      89 10595827 10595895 10595807 10595915 68525979    +       0.014   22.0   4.1  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               18      79 51260873 51260812 51260893 51260783 67730917    -       0.015   22.0   3.9  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               18      98 11326801 11326881 11326785 11326883 59398771    +       0.015   22.0   4.1  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               19      98  5176995  5177074  5176979  5177075 59398771    +       0.016   21.9   1.3  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               20      85 60497440 60497504 60497420 60497518 79235845    +       0.016   21.8   3.7  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      90 25316930 25317000 25316910 25317010 67732284    +       0.016   21.8   3.1  -
Scaffold_620_HRSCAF_3607_arrow -          all_tr_seqs          -               20      97 25256517 25256595 25256497 25256597 67730917    +       0.018   21.7   4.4  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               18      75 17233455 17233512 17233438 17233533 67732284    +       0.018   21.7   4.4  -
Scaffold_6_HRSCAF_40_arrow     -          all_tr_seqs          -               21      89 64809627 64809560 64809648 64809543 79235845    -       0.018   21.7   5.2  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      80  5188040  5188100  5188020  5188119 59398771    +       0.018   21.7   1.7  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               19      79 41565144 41565084 41565164 41565065 52377468    -       0.019   21.6   4.1  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      80  9194433  9194493  9194412  9194519 59398771    +       0.019   21.6   3.5  -
Scaffold_83_HRSCAF_700_arrow   -          all_tr_seqs          -               20      79 17442585 17442526 17442605 17442501 66732361    -       0.019   21.6   4.7  -
Scaffold_462_HRSCAF_1986_arrow -          all_tr_seqs          -               21      86 40040240 40040304 40040219 40040318 59385650    +       0.019   21.6   4.3  -
Scaffold_619_HRSCAF_3606_arrow -          all_tr_seqs          -               14      96 50044557 50044474 50044573 50044471 52901414    -        0.02   21.5   2.3  -
Scaffold_78_HRSCAF_679_arrow   -          all_tr_seqs          -               20      90 51340273 51340204 51340293 51340184 68525979    -       0.022   21.4   5.6  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 25304781 25304841 25304761 25304860 67732284    +       0.022   21.4   3.3  -
Scaffold_612_HRSCAF_3546_arrow -          all_tr_seqs          -               19      79 25310856 25310916 25310836 25310936 67732284    +       0.022   21.4   3.3  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               19      79 37015716 37015776 37015696 37015796 52377468    +       0.022   21.4   3.3  -
Scaffold_621_HRSCAF_3608_arrow -          all_tr_seqs          -               21      81 19695378 19695318 19695397 19695300 57862457    -       0.023   21.3   1.4  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               20      82   991053   991116   991036   991132 59398771    +       0.024   21.3   1.2  -
Scaffold_622_HRSCAF_3609_arrow -          all_tr_seqs          -               20      79 16590521 16590580 16590501 16590598 52377468    +       0.024   21.3   5.1  -
Scaffold_462_HRSCAF_1986_arrow -          all_tr_seqs          -               21      79  4546027  4546085  4546006  4546104 59385650    +       0.024   21.3   3.1  -
Scaffold_538_HRSCAF_2709_arrow -          all_tr_seqs          -               19     100 42799811 42799897 42799791 42799913 59398771    +       0.024   21.2   5.2  -
