# target name         accession  query name           accession  hmmfrom hmm to   alifrom    ali to   envfrom    env to    sq len strand   E-value  score  bias  description of target
# ------------------- ---------- -------------------- ---------- ------- -------   -------   -------   -------   -------   ------- ------ --------- ------ ----- ---------------------
HAP3_SUPER_3          -          all_tr_seqs          -               16      98   4154917   4154999   4154901   4155000  82926109    +       0.073   21.6   1.0  -
HAP3_SUPER_2          -          all_tr_seqs          -                8      71  74274865  74274802  74274872  74274781  99305196    -       0.076   21.5   1.9  -
HAP2_SUPER_3          -          all_tr_seqs          -               16      98   4160356   4160438   4160339   4160439  84295367    +       0.099   21.1   1.1  -
HAP3_SUPER_4          -          all_tr_seqs          -               18      79  55763342  55763403  55763325  55763418  75370358    +        0.11   21.0   1.6  -
HAP4_SUPER_3          -          all_tr_seqs          -               13      82   4110056   4110125   4110044   4110142  86209777    +        0.12   20.9   1.4  -
HAP4_SUPER_9          -          all_tr_seqs          -               13      98  38994564  38994479  38994579  38994478  82252969    -        0.15   20.6   1.3  -
HAP4_SUPER_4          -          all_tr_seqs          -               18      79  57255581  57255642  57255564  57255657  76446087    +        0.15   20.6   1.6  -
HAP4_SUPER_4          -          all_tr_seqs          -               18      79  62628596  62628657  62628579  62628672  76446087    +        0.15   20.6   6.0  -
HAP3_SUPER_5          -          all_tr_seqs          -               18     108  10595111  10595023  10595131  10594989  90917284    -        0.16   20.4   0.7  -
HAP2_SUPER_9          -          all_tr_seqs          -               59     155  73550912  73551007  73550892  73551027  79048219    +        0.17   20.4   5.4  -
HAP2_SCAFFOLD_25      -          all_tr_seqs          -               17      79   1437929   1437867   1437945   1437850   2124892    -        0.17   20.3   1.1  -
HAP3_SUPER_5          -          all_tr_seqs          -               18     106  15733530  15733429  15733550  15733419  90917284    -        0.21   20.0   3.1  -
HAP2_SUPER_9          -          all_tr_seqs          -               15      98  40450177  40450094  40450195  40450093  79048219    -        0.26   19.8   1.9  -
HAP3_SUPER_4          -          all_tr_seqs          -               15      72  63162700  63162643  63162714  63162623  75370358    -        0.27   19.7   1.5  -
HAP4_SUPER_4          -          all_tr_seqs          -               15      72  64798743  64798686  64798757  64798666  76446087    -        0.27   19.7   1.5  -
HAP3_SUPER_9          -          all_tr_seqs          -               17      73  23803282  23803338  23803263  23803358  87916990    +        0.29   19.6   2.0  -
HAP2_SCAFFOLD_32      -          all_tr_seqs          -               17      75   1001977   1002035   1001957   1002054   1281000    +        0.29   19.6   2.4  -
HAP2_SUPER_9          -          all_tr_seqs          -               17      75  24684578  24684636  24684558  24684655  79048219    +        0.29   19.6   2.4  -
HAP4_SUPER_7          -          all_tr_seqs          -               56     149   5708389   5708281   5708408   5708261  79371950    -        0.31   19.5   2.7  -
HAP3_SUPER_1          -          all_tr_seqs          -               10      71  95139151  95139090  95139160  95139069 117562012    -        0.32   19.5   0.2  -
HAP4_SUPER_2          -          all_tr_seqs          -               16      79   8930253   8930190   8930269   8930170  91246324    -        0.33   19.4   1.3  -
HAP2_SUPER_1          -          all_tr_seqs          -               11      70   8194622   8194563   8194633   8194539 119203658    -        0.35   19.3   0.0  -
HAP3_SUPER_1          -          all_tr_seqs          -               11      70   8290439   8290380   8290450   8290356 117562012    -        0.35   19.3   0.0  -
HAP3_SUPER_7          -          all_tr_seqs          -               20      89  49080141  49080073  49080162  49080049  81930397    -        0.38   19.2   3.0  -
HAP4_SUPER_8          -          all_tr_seqs          -               16      76  19934937  19934877  19934952  19934857  86956920    -        0.38   19.2   1.0  -
HAP3_SUPER_2          -          all_tr_seqs          -               17     104  39811731  39811828  39811715  39811842  99305196    +        0.39   19.2   2.1  -
